OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_WHITE_NH,COUNT_BLACK_NH,COUNT_ASIAN_NH,COUNT_HISPANIC,PERCENT_WHITE_NH,PERCENT_BLACK_NH,PERCENT_ASIAN_NH,PERCENT_HISPANIC,Shape__Area,Shape__Length
40,42101003100,2010,Census tract,4437,192,3845,190,122,4.32724814,86.65765157,4.28217264,2.74960559,674166.73046875,3296.37047078166
41,42101003200,2010,Census tract,4875,197,4399,44,100,4.04102564,90.23589744,0.9025641,2.05128205,837344.1171875,3661.94559965747
42,42101003300,2010,Census tract,6162,1573,4018,227,197,25.52742616,65.20610191,3.68386887,3.19701396,1972678.9296875,7025.49415472903
43,42101003600,2010,Census tract,6723,1404,3946,904,322,20.88353414,58.6940354,13.44637811,4.78952848,1643001.9375,6485.51821515772
44,42101003701,2010,Census tract,6609,506,4843,838,268,7.65622636,73.27886216,12.67967923,4.05507641,605484.515625,3324.62866269411
45,42101003702,2010,Census tract,3707,988,1722,693,186,26.65227947,46.45265714,18.69436202,5.01753439,421323.1328125,3093.56860747065
46,42101003800,2010,Census tract,3898,3465,68,196,118,88.89173935,1.74448435,5.0282196,3.02719343,1853089.359375,5678.98774971558
47,42101003901,2010,Census tract,6062,3886,564,1103,384,64.10425602,9.30386011,18.19531508,6.33454306,715618.34375,3609.69562460844
48,42101003902,2010,Census tract,5507,5263,17,80,99,95.56927547,0.30869802,1.45269657,1.797712,772269.5078125,3875.49674486853
49,42101004001,2010,Census tract,4259,3220,89,510,352,75.60460202,2.08969242,11.97464193,8.2648509,536194.51953125,2905.81506736782
50,42101004002,2010,Census tract,4998,4507,25,208,208,90.17607043,0.50020008,4.16166467,4.16166467,586915.375,3068.18277562284
51,42101004101,2010,Census tract,6243,1419,1281,2072,1288,22.72945699,20.51898126,33.18917187,20.63110684,636636.875,3206.80181035171
52,42101004102,2010,Census tract,7848,3351,803,2355,1125,42.69877676,10.23190622,30.00764526,14.33486239,666987.79296875,3280.10917749386
53,42101004201,2010,Census tract,5105,4050,278,430,274,79.33398629,5.44564153,8.42311459,5.36728697,615624.484375,3209.41198998041
54,42101004202,2010,Census tract,4925,3732,247,536,300,75.77664975,5.01522843,10.88324873,6.09137056,771637.1796875,3556.38138508729
55,42101005000,2010,Census tract,13,8,1,0,4,61.53846154,7.69230769,0,30.76923077,13955531.7539063,19078.6996228956
56,42101005400,2010,Census tract,1314,160,997,73,49,12.17656012,75.87519026,5.55555556,3.72907154,4068454.5546875,9787.62534631282
57,42101005500,2010,Census tract,5635,710,4420,203,152,12.59982254,78.43833185,3.60248447,2.6974268,2008105.97265625,8110.38501696759
58,42101005600,2010,Census tract,1111,85,931,41,26,7.65076508,83.79837984,3.69036904,2.34023402,1429776.0546875,4686.59175741228
59,42101006000,2010,Census tract,6450,1112,4593,410,170,17.24031008,71.20930233,6.35658915,2.63565891,1858494.25390625,5650.72961826321
60,42101006100,2010,Census tract,3123,412,2308,291,49,13.19244316,73.90329811,9.3179635,1.56900416,897740.75,4079.00349950751
61,42101006200,2010,Census tract,4524,408,3704,219,107,9.01856764,81.87444739,4.84084881,2.36516357,867390.75,3761.392875698
62,42101006300,2010,Census tract,4236,224,3115,610,189,5.28800755,73.53635505,14.40037771,4.46175637,945839.53515625,4622.23364200879
63,42101006400,2010,Census tract,4472,314,3372,525,146,7.02146691,75.40250447,11.73971377,3.2647585,1110996.5390625,5213.19991074162
64,42101006500,2010,Census tract,4486,31,4255,23,78,0.69103879,94.85064646,0.5127062,1.73874276,1940776.49609375,9302.16137467486
65,42101006600,2010,Census tract,3750,178,2914,415,149,4.74666667,77.70666667,11.06666667,3.97333333,1108895.0859375,4449.31074302989
66,42101006700,2010,Census tract,7472,763,5691,534,279,10.2114561,76.1643469,7.14668094,3.73394004,1706382.08203125,5306.67800618849
67,42101006900,2010,Census tract,2539,56,2378,2,55,2.20559275,93.65892083,0.07877117,2.16620717,1382492.59765625,6100.31372719275
68,42101007000,2010,Census tract,3990,51,3788,29,40,1.27819549,94.93734336,0.72681704,1.00250627,799708.6484375,3625.23130046285
69,42101007101,2010,Census tract,2557,122,2308,23,40,4.77121627,90.26202581,0.89949159,1.5643332,431291.5625,2926.10007229706
70,42101007102,2010,Census tract,4924,31,4715,19,70,0.62956946,95.75548335,0.38586515,1.42160845,708100.4765625,3431.93594453045
71,42101007200,2010,Census tract,4773,60,4459,41,115,1.25707102,93.42132831,0.85899853,2.40938613,856105.85546875,3947.03763611043
72,42101007300,2010,Census tract,3088,184,2696,30,81,5.95854922,87.30569948,0.97150259,2.62305699,659489.015625,3857.48141154352
73,42101007400,2010,Census tract,4338,285,3762,62,120,6.56984786,86.7219917,1.42923006,2.76625173,1150582.1953125,4609.3493293111
74,42101007700,2010,Census tract,2380,966,696,583,51,40.58823529,29.24369748,24.49579832,2.14285714,548542.171875,3898.60544772224
75,42101007800,2010,Census tract,4177,2099,1470,244,203,50.25137659,35.19272205,5.84151305,4.85994733,728073.40234375,3615.8437902255
76,42101007900,2010,Census tract,4553,2123,1699,255,242,46.62859653,37.31605535,5.60070283,5.31517681,643945.8046875,3440.15879694337
77,42101008000,2010,Census tract,3951,372,3291,46,138,9.41533789,83.29536826,1.16426221,3.49278664,733424.859375,3406.4715801543
78,42101008101,2010,Census tract,2758,32,2610,12,48,1.16026106,94.6337926,0.4350979,1.74039159,415214.1171875,2830.62273781765
79,42101008102,2010,Census tract,5028,33,4786,10,101,0.65632458,95.18695306,0.19888624,2.00875099,617581.46875,3182.70477630921
80,42101008200,2010,Census tract,6797,38,6461,44,125,0.55907018,95.05664264,0.64734442,1.83904664,1438214.671875,4780.98059024168
81,42101008301,2010,Census tract,4081,96,3779,41,85,2.35236462,92.59985298,1.00465572,2.08282284,881873.0390625,4340.63414377369
82,42101008302,2010,Census tract,4307,27,4049,40,109,0.62688646,94.00975157,0.92872069,2.53076387,724556.41015625,4138.71176012725
83,42101008400,2010,Census tract,4488,35,4209,22,90,0.7798574,93.78342246,0.49019608,2.00534759,854982.26171875,3701.49813141015
84,42101008500,2010,Census tract,6313,210,5713,87,131,3.32646919,90.49580231,1.37810866,2.07508316,1058875.08203125,4129.12494699977
85,42101008601,2010,Census tract,2947,1351,1070,291,118,45.8432304,36.30810994,9.87444859,4.00407194,430148.1640625,3236.99844307604
86,42101008602,2010,Census tract,3010,303,2395,106,108,10.06644518,79.56810631,3.52159468,3.58803987,629041.4296875,3458.89243488676
87,42101008701,2010,Census tract,4147,2031,661,1057,217,48.97516277,15.93923318,25.4883048,5.23269834,442189.40625,3323.98013568838
88,42101008702,2010,Census tract,3036,1699,381,665,196,55.96179183,12.54940711,21.90382082,6.45586298,483125.76953125,3224.621315884
89,42101008801,2010,Census tract,988,510,88,298,55,51.6194332,8.90688259,30.16194332,5.56680162,314820.7578125,2387.22420851149
90,42101008802,2010,Census tract,6983,3660,782,1883,350,52.41300301,11.19862523,26.96548761,5.01217242,671388.234375,3891.89630000101
91,42101009000,2010,Census tract,5576,3795,435,948,231,68.05954089,7.80129125,17.00143472,4.14275466,743322.890625,3733.1174094218
92,42101009100,2010,Census tract,2803,1104,1159,360,99,39.38637174,41.34855512,12.84338209,3.53193007,725224.47265625,3375.60578078992
93,42101009200,2010,Census tract,2884,314,2201,188,97,10.88765603,76.31761442,6.51872399,3.36338419,872537.34765625,3975.32502155077
94,42101009300,2010,Census tract,4221,70,3934,27,94,1.65837479,93.20066335,0.63965885,2.22696044,684354.37890625,3517.50105372757
95,42101009400,2010,Census tract,3827,21,3655,8,76,0.54873269,95.50561798,0.20904102,1.98588973,624994.62890625,3197.79786487727
96,42101009500,2010,Census tract,3313,17,3148,4,66,0.51313009,95.01961968,0.12073649,1.99215213,543807.7578125,3306.35729247452
97,42101009600,2010,Census tract,4238,62,3963,27,82,1.46295422,93.51109014,0.63709297,1.93487494,690816.71484375,3398.14701956584
98,42101009801,2010,Census tract,2184,235,1794,41,44,10.76007326,82.14285714,1.87728938,2.01465201,512451.57421875,3149.00798030556
99,42101009802,2010,Census tract,5475,584,4561,104,125,10.66666667,83.30593607,1.89954338,2.28310502,1019775.43359375,5776.94200235367
