OBJECTID,GEOID,ACCESS_,Shape__Area,Shape__Length
3389,421010390004013,Low Access,1311.35394287109,203.653072532462
3390,421010318002005,Low Access,97916.0709228516,1258.38848467442
3391,421010319003000,Low Access,125633.468322754,1593.71422478453
3392,421010319003005,Low Access,89005.5653076172,1445.01167048098
3393,421010318002000,Low Access,138783.24810791,1557.11752443614
3394,421010312003004,Low Access,31213.0152587891,1525.32735381217
3395,421010319002009,Low Access,126554.874694824,1462.66656855149
3396,421010312003007,No Access,22917.7033081055,661.189416492994
3397,421010318002008,Low Access,147467.080200195,1657.0881023744
3398,421010319002007,Low Access,121485.528137207,1513.94186910488
3399,421010312003006,No Access,22752.9593505859,624.448311482554
3400,421010318002001,Low Access,196886.982299805,1821.95322124204
3401,421010319003007,Low Access,234403.634643555,1937.53005712882
3402,421010319003001,Low Access,81204.8966064453,1410.26639243875
3403,421010319002008,Low Access,126494.939208984,1462.34559636915
3404,421010312003005,Low Access,36442.8308105469,894.70123699661
3405,421010318002006,Low Access,138066.247558594,1467.48312352646
3406,421010300001002,No Access,154316.41204834,1799.75950167821
3407,421010319002005,Low Access,126411.458679199,1463.36375497449
3408,421010318002002,Low Access,126208.690368652,1464.08495098372
3409,421010319003002,Low Access,181246.359741211,1694.6442645622
3410,421010319003003,Low Access,208761.657592773,1835.27000904051
3411,421010319003004,Low Access,90114.9750976563,1452.44007916145
3412,421010300001001,No Access,77652.3147583008,1108.56668045156
3413,421010319002006,Low Access,126186.85559082,1460.79955168127
3414,421010319002002,Low Access,148594.356323242,1769.99817004891
3415,421010321002000,Low Access,140969.320678711,1744.05159303201
3416,421010319002003,Low Access,148713.92565918,1768.8785015914
3417,421010319002001,Low Access,148871.147583008,1771.09180503446
3418,421010319002004,No Access,148269.444030762,1767.42485072042
3419,421010381001022,No Access,5453030.53491211,10738.166946859
3420,421010300003006,Low Access,114025.015808105,1365.46838748521
3421,421010298002000,No Access,261125.933044434,2058.45803993196
3422,421010298005007,Low Access,92113.3902587891,1307.5335670544
3423,421010299003007,Low Access,82372.7330932617,1243.86106118579
3424,421010380002002,Low Access,127822.289733887,1708.88447515091
3425,421010380002019,Low Access,113692.937438965,1490.05091978303
3426,421010381001030,No Access,79424.0948486328,2800.01325952846
3427,421010380002009,No Access,22042.4868774414,762.816065574123
3428,421010380002015,No Access,202939.384094238,2176.18184407726
3429,421010380002018,Low Access,144198.345153809,1696.59677214597
3430,421010298004020,Low Access,88756.4048461914,1275.26106711627
3431,421010298005001,No Access,76934.9712524414,1170.4010485244
3432,421010298004006,Low Access,585.688110351563,278.047289864058
3433,421010299001006,Low Access,122313.692932129,1530.81828785108
3434,421010381001023,No Access,127713.199645996,2429.30597144781
3435,421010381001027,Low Access,990123.037231445,5550.91834028595
3436,421010381001032,No Access,67631.2619628906,1042.96351225498
3437,421010381001037,Low Access,62423.674621582,1131.08075790341
3438,421010298002008,Low Access,73626.7652587891,1203.65842589881
3439,421010321001008,Low Access,103466.490112305,1429.06609117986
3440,421010321001017,No Access,80578.6879272461,1414.15464411215
3441,421010380002006,Low Access,137727.500610352,1620.26030407556
3442,421010380002003,No Access,232606.206115723,1972.83207083734
3443,421010299002002,Low Access,56009.7239990234,947.693506964745
3444,421010298005003,Low Access,89661.0012207031,1228.13358447718
3445,421010298005006,Low Access,76944.2615356445,1237.67098482543
3446,421010298002003,Low Access,89652.7635498047,1318.30437234365
3447,421010298004015,Low Access,63866.233581543,1056.42217843911
3448,421010298004001,Low Access,247142.669677734,2037.96788605131
3449,421010298002004,Low Access,79530.7289428711,1272.7928694234
3450,421010298002007,Low Access,81179.5665283203,1239.22120005672
3451,421010321001006,Low Access,174978.768554688,1673.6032596499
3452,421010299002006,No Access,103976.570373535,1301.85844012914
3453,421010299004004,Low Access,136516.40222168,1486.9462606375
3454,421010298005002,No Access,73597.043762207,1145.19935202078
3455,421010300003010,Low Access,112189.579162598,1357.57860851908
3456,421010299004010,No Access,81969.6860961914,1200.08971677766
3457,421010299004011,Low Access,70235.7849731445,1164.55571588559
3458,421010299003003,Low Access,87774.0938720703,1284.60997935778
3459,421010299003002,Low Access,100916.785644531,1344.51590123321
3460,421010299003005,Low Access,99199.3627319336,1327.02977439796
3461,421010299004013,Low Access,93125.4996948242,1286.60260048895
3462,421010321001009,Low Access,42341.4454956055,826.10119047788
3463,421010299002010,No Access,27155.8905029297,1233.57532319016
3464,421010299002004,No Access,324748.585083008,2929.69052420606
3465,421010298002009,Low Access,83886.0272216797,1255.81455426149
3466,421010298004007,Low Access,77890.922668457,1207.10623163862
3467,421010380002016,Low Access,140499.481262207,1629.40347126148
3468,421010299002012,Low Access,49049.5440063477,892.099115348581
3469,421010298004002,Low Access,946198.700561523,4599.08070784395
3470,421010299001004,Low Access,167298.810302734,1886.1082507538
3471,421010381001028,No Access,47920.3894042969,890.068078545673
3472,421010381001035,No Access,62658.9992675781,1120.26346420151
3473,421010381001036,No Access,45886.127746582,904.081708268412
3474,421010381001033,No Access,52857.8581542969,934.97785410091
3475,421010321001013,Low Access,85050.7204589844,1361.02756694171
3476,421010321001012,Low Access,35581.3737182617,765.736245764961
3477,421010380002017,Low Access,140965.772583008,1629.88040353635
3478,421010298005004,Low Access,61776.0670776367,1080.80788525634
3479,421010299002001,Low Access,55883.7053222656,940.753334471903
3480,421010298004005,Low Access,42828.3489990234,976.073590598535
3481,421010298002001,Low Access,69276.9465942383,1153.43496856913
3482,421010298002006,Low Access,77271.5823974609,1193.66554507014
3483,421010298002005,Low Access,88420.3089599609,1308.8202057797
3484,421010298004010,Low Access,89657.7585449219,1328.40134977535
3485,421010381001038,Low Access,47222.7463378906,919.300050815274
3486,421010298004008,Low Access,55433.776550293,968.469827815146
3487,421010299004006,Low Access,74570.6208496094,1133.88774088041
3488,421010299004008,Low Access,88162.4672851563,1232.61527016907
3489,421010298005000,No Access,73219.0223388672,1134.57407642261
3490,421010299002005,No Access,533712.281616211,2910.86218481258
