OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SHAPE_LENG,Shape__Area,Shape__Length
8749,42,101,003002,4007,421010030024007,Block 4007,G5040, , ,S,6741,0,+39.9316807,-075.1727733,373.08993154,72625.6716918945,1224.86066598798
8750,42,101,003002,2006,421010030022006,Block 2006,G5040, , ,S,6000,0,+39.9327686,-075.1714751,361.69580734,64607.8134765625,1187.17684184242
8751,42,101,003001,5002,421010030015002,Block 5002,G5040, , ,S,5600,0,+39.9303852,-075.1725362,356.89757577,60276.7708740234,1171.30358086933
8752,42,101,003001,2001,421010030012001,Block 2001,G5040, , ,S,6687,0,+39.9289095,-075.1707315,369.94425913,72082.2971801758,1214.5913515663
8753,42,101,003902,1001,421010039021001,Block 1001,G5040, , ,S,5461,0,+39.9201349,-075.1715740,358.32390297,58718.3151245117,1175.76375286738
8754,42,101,003702,3007,421010037023007,Block 3007,G5040, , ,S,2847,0,+39.9225548,-075.1864048,342.42175148,30629.158203125,1123.5472365004
8755,42,101,003200,1006,421010032001006,Block 1006,G5040, , ,S,5784,0,+39.9343145,-075.1834925,365.23756336,62232.8012084961,1198.37289051155
8756,42,101,003200,5000,421010032005000,Block 5000,G5040, , ,S,6765,0,+39.9320143,-075.1851259,372.4556476,72826.1283569336,1221.84400152118
8757,42,101,003200,3003,421010032003003,Block 3003,G5040, , ,S,5883,0,+39.9318729,-075.1840300,365.03453978,63319.7969970703,1197.98040598124
8758,42,101,003901,2010,421010039012010,Block 2010,G5040, , ,S,5404,0,+39.9213838,-075.1713001,358.16894395,58100.1388549805,1175.39182097334
8759,42,101,003901,2009,421010039012009,Block 2009,G5040, , ,S,7681,0,+39.9213146,-075.1707619,389.17779672,82676.2647705078,1277.36538200256
8760,42,101,003902,1000,421010039021000,Block 1000,G5040, , ,S,7667,0,+39.9200703,-075.1710335,389.69651869,82635.1348266602,1279.61233048874
8761,42,101,004002,3006,421010040023006,Block 3006,G5040, , ,S,815,0,+39.9187690,-075.1708824,292.50324389,8617.74926757813,959.724801110336
8762,42,101,004002,4002,421010040024002,Block 4002,G5040, , ,S,763,0,+39.9212710,-075.1703434,290.6482135,8047.06341552734,953.06987619452
8763,42,101,003200,3009,421010032003009,Block 3009,G5040, , ,S,610,0,+39.9305917,-075.1833487,120.77482766,6544.52307128906,395.687023847743
8764,42,101,004002,3005,421010040023005,Block 3005,G5040, , ,S,7838,0,+39.9187263,-075.1705259,391.61885956,84376.0857543945,1285.597110295
8765,42,101,003600,3032,421010036003032,Block 3032,G5040, , ,S,11131,0,+39.9227382,-075.1915317,892.9278197,114611.369628906,2855.29028895101
8766,42,101,003600,3020,421010036003020,Block 3020,G5040, , ,S,7434,0,+39.9238008,-075.1908131,458.28368995,73401.5401000977,1528.98246063195
8767,42,101,003300,1007,421010033001007,Block 1007,G5040, , ,S,6447,0,+39.9338636,-075.1898246,367.36910651,69265.2701416016,1205.02753910402
