TractFIPS	Geolocation
42101009300	(39.96229139470, -75.2240225504)
42101009400	(39.96327088150, -75.2322437437)
42101009500	(39.96587097860, -75.2379139311)
42101009600	(39.96553958820, -75.2435074710)
42101009801	(39.97751721700, -75.2665972674)
42101009802	(39.97458783200, -75.2679037822)
42101010000	(39.97108341890, -75.2503759908)
42101010100	(39.97213960520, -75.2425290211)
42101010200	(39.96808298900, -75.2316701504)
42101010300	(39.96783223640, -75.2254383672)
42101010400	(39.96549964420, -75.2191193677)
42101010500	(39.96656538030, -75.2142017554)
42101010600	(39.96463274520, -75.2079213173)
42101010700	(39.96874751880, -75.2069442642)
42101010800	(39.96602173010, -75.1989890213)
42101010900	(39.96492864170, -75.1917649993)
42101011000	(39.97372901330, -75.2062951629)
42101011100	(39.97520032960, -75.2215744559)
42101011200	(39.97360414740, -75.2336533093)
42101011300	(39.97865544060, -75.2353346301)
42101011400	(39.98073882950, -75.2440178089)
42101011500	(39.97736872760, -75.2518303032)
42101011700	(39.99190697480, -75.2404369514)
42101011800	(39.98528902180, -75.2357396856)
42101011900	(39.98611438200, -75.2288429701)
42101012000	(39.99553232390, -75.2297466322)
42101012100	(39.99596187490, -75.2226364681)
42101012201	(40.00417765640, -75.2089460874)
42101012203	(40.00746682350, -75.2093525743)
42101012204	(40.00081524630, -75.2134579842)
42101012500	(39.96138114980, -75.1718436019)
42101013100	(39.96513123140, -75.1507381462)
42101013200	(39.96620427770, -75.1571335444)
42101013300	(39.96661268170, -75.1629454869)
42101013401	(39.96595742070, -75.1752507144)
42101013402	(39.96536231030, -75.1690325610)
42101013500	(39.96935638710, -75.1700366976)
42101013601	(39.96896964470, -75.1785774695)
42101013602	(39.97157136990, -75.1798097256)
42101013700	(39.97727518900, -75.1842323618)
42101013800	(39.97645045470, -75.1771771157)
42101013900	(39.97505630200, -75.1711845603)
42101014000	(39.97353580450, -75.1630966321)
42101014100	(39.97087702710, -75.1524555966)
42101014200	(39.96516322880, -75.1360194012)
42101014300	(39.96779453990, -75.1261066297)
42101014400	(39.97222862460, -75.1400952818)
42101014500	(39.97607152090, -75.1484188501)
42101014600	(39.97643049780, -75.1546990145)
42101014700	(39.97854888490, -75.1620244278)
42101014800	(39.98020471160, -75.1691609593)
42101014900	(39.98165023220, -75.1804029933)
42101015101	(39.98696327280, -75.1857501459)
42101015102	(39.98614297420, -75.1794280468)
42101015200	(39.98545464980, -75.1700491303)
42101015300	(39.98376444980, -75.1608849228)
42101015600	(39.97900663670, -75.1418910314)
42101015700	(39.97804632520, -75.1355241557)
42101015800	(39.97357728770, -75.1294326648)
42101016000	(39.97938097090, -75.1231902126)
42101016100	(39.98445718040, -75.1275248647)
42101016200	(39.98401968790, -75.1384217430)
42101016300	(39.98850607920, -75.1339155453)
42101016400	(39.98964373580, -75.1431665813)
42101016500	(39.98905508080, -75.1491723701)
42101016600	(39.98904916390, -75.1536062608)
42101016701	(39.99119657180, -75.1619017170)
42101016702	(39.99041757840, -75.1578176592)
42101016800	(39.99178207740, -75.1676540196)
42101016901	(39.99305230530, -75.1758393273)
42101016902	(39.99398573190, -75.1831934349)
42101017000	(40.00770786870, -75.1818037034)
42101017100	(40.00274486390, -75.1763244983)
42101017201	(39.99939724760, -75.1686144760)
42101017202	(39.99866699050, -75.1742060233)
42101017300	(39.99857069700, -75.1609337065)
42101017400	(39.99621378080, -75.1503586163)
42101017500	(39.99743599280, -75.1427817796)
42101017601	(39.99392597780, -75.1343449403)
42101017602	(39.99671819360, -75.1305528733)
42101017701	(39.99644696260, -75.1167525603)
42101017702	(39.99506218140, -75.1231398438)
42101017800	(39.99137335620, -75.1173061455)
42101017900	(39.98705345300, -75.1139338890)
42101018001	(39.98105698160, -75.1128000114)
42101018002	(39.98363441910, -75.1067095894)
42101018300	(39.99526020690, -75.0746013479)
42101018400	(39.99869535850, -75.0645677689)
42101018800	(39.99736586560, -75.1058294984)
42101019000	(40.00924797460, -75.0985073036)
42101019100	(40.00967460390, -75.1068374251)
42101019200	(40.00063923830, -75.1150647872)
42101019501	(40.00043024170, -75.1316227229)
42101019502	(40.00340292780, -75.1300444941)
42101019700	(40.01627991660, -75.1379372140)
42101019800	(40.01072447060, -75.1421472184)
42101019900	(40.00485156110, -75.1435462441)
42101020000	(40.00252894560, -75.1508995206)
42101020101	(40.00368246810, -75.1553071488)
42101020102	(40.01114158900, -75.1545675851)
42101020200	(40.00812824590, -75.1621607972)
42101020300	(40.01258211350, -75.1495922294)
42101020400	(40.01982161430, -75.1525117069)
42101020500	(40.01587384890, -75.1643605132)
42101020600	(40.01902012730, -75.1825323687)
42101020700	(40.01279610570, -75.1939701342)
42101020800	(40.02131514770, -75.1936133851)
42101020900	(40.01813254070, -75.2092966883)
42101021000	(40.02421631930, -75.2149058250)
42101021100	(40.02645653700, -75.2065293798)
42101021200	(40.03483899140, -75.2125337247)
42101021300	(40.03223391710, -75.2181175526)
42101021400	(40.02834210940, -75.2240820912)
42101021500	(40.03500546510, -75.2285063931)
42101021600	(40.04097572980, -75.2387551089)
42101021700	(40.04502776710, -75.2239453991)
42101021800	(40.05747611350, -75.2324351749)
42101021900	(40.05098576330, -75.2436971612)
42101022000	(40.05915537090, -75.2502323986)
42101023100	(40.06637006700, -75.2029762896)
42101023500	(40.03944362120, -75.2007931290)
42101023600	(40.04271464960, -75.1946940669)
42101023700	(40.04873951980, -75.1886069666)
42101023800	(40.03893708360, -75.1827037814)
42101023900	(40.03398602440, -75.1873478807)
42101024000	(40.02808074480, -75.1794623661)
42101024100	(40.03327341590, -75.1759174745)
42101024200	(40.02851098970, -75.1697085581)
42101024300	(40.02158547320, -75.1710376399)
42101024400	(40.02482846320, -75.1638924794)
42101024500	(40.03332874440, -75.1620462378)
42101024600	(40.03854871550, -75.1719926217)
42101024700	(40.04170350810, -75.1645309757)
42101024800	(40.04684423870, -75.1668817517)
42101024900	(40.05110091790, -75.1601166521)
42101025200	(40.04683530540, -75.1771588031)
42101025300	(40.05421983700, -75.1822200427)
42101025400	(40.06042025400, -75.1760717373)
42101025500	(40.06257964290, -75.1840638129)
42101025600	(40.06707749680, -75.1894058257)
42101025700	(40.07245861120, -75.1962707622)
42101025800	(40.07398013900, -75.1823113018)
42101025900	(40.07992548240, -75.1759762059)
42101026000	(40.07612353420, -75.1694560363)
42101026100	(40.07046450880, -75.1755188687)
42101026200	(40.06649405320, -75.1692175259)
42101026301	(40.07281479970, -75.1637160858)
42101026302	(40.06874253880, -75.1571944921)
42101026400	(40.06254626660, -75.1620065973)
42101026500	(40.05872556300, -75.1546920782)
42101026600	(40.06348283460, -75.1473267153)
42101026700	(40.05475689490, -75.1479246607)
42101026800	(40.05552725480, -75.1399310797)
42101026900	(40.05560069870, -75.1324048518)
42101027000	(40.04932306050, -75.1331512306)
42101027100	(40.04978119650, -75.1252313876)
42101027200	(40.04734193500, -75.1178413108)
42101027300	(40.03865456500, -75.1185367061)
42101027401	(40.03860504480, -75.1286495148)
42101027402	(40.03907039600, -75.1251351439)
42101027500	(40.04004992690, -75.1322706242)
42101027600	(40.04294042440, -75.1392770902)
42101027700	(40.05054434210, -75.1512268258)
42101027800	(40.04252791900, -75.1471626252)
42101027901	(40.04588789510, -75.1544481992)
42101027902	(40.03743819100, -75.1543086637)
42101028000	(40.02611904830, -75.1546481715)
42101028100	(40.03044738970, -75.1491299072)
42101028200	(40.03487047890, -75.1403326984)
42101028300	(40.02605056110, -75.1438523954)
42101028400	(40.02515784630, -75.1381286599)
42101028500	(40.02871551640, -75.1337358502)
42101028600	(40.02857578400, -75.1276447672)
42101028700	(40.02181945010, -75.1314402127)
42101028800	(40.02228415140, -75.1240561796)
42101028901	(40.01710084920, -75.1151820613)
42101028902	(40.02208307950, -75.1117941771)
42101029000	(40.03029193700, -75.1167670225)
42101029100	(40.03613244300, -75.1074595375)
42101029200	(40.02385033500, -75.1008715959)
42101029300	(40.01375412960, -75.0917655772)
42101029400	(40.00947896740, -75.0854720471)
42101029800	(40.01595292950, -75.0678013423)
42101029900	(40.01314654200, -75.0747145958)
42101030000	(40.01867198050, -75.0780877172)
42101030100	(40.02049477310, -75.0885046718)
42101030200	(40.02598631020, -75.0823128616)
42101030501	(40.04281631680, -75.0994350463)
42101030502	(40.04572070440, -75.1046618124)
42101030600	(40.05049225340, -75.0943787183)
42101030700	(40.05731342220, -75.0885389831)
42101030800	(40.05478323370, -75.0819055854)
42101030900	(40.04376327190, -75.0851913204)
42101031000	(40.04972930320, -75.0744540698)
42101031101	(40.04224960800, -75.0785448508)
42101031102	(40.03708500430, -75.0833728853)
42101031200	(40.03542044560, -75.0774549589)
42101031300	(40.03931897920, -75.0698140427)
42101031401	(40.04571341690, -75.0665727966)
42101031402	(40.04327979870, -75.0602860135)
42101031501	(40.03659192880, -75.0481641315)
42101031502	(40.03926583810, -75.0548692255)
42101031600	(40.03261265290, -75.0590717161)
42101031700	(40.03060511060, -75.0683988248)
42101031800	(40.03110207280, -75.0769891476)
42101031900	(40.02306002350, -75.0648988456)
42101032000	(40.02717512420, -75.0548672557)
42101032100	(40.01701747080, -75.0589751878)
42101032300	(40.02108984240, -75.0515269841)
42101032500	(40.02639193310, -75.0452561625)
42101032600	(40.03027740980, -75.0396264550)
42101032900	(40.03731933390, -75.0262581708)
42101033000	(40.03359748490, -75.0338493024)
42101033101	(40.04030928370, -75.0379504189)
42101033102	(40.04510498430, -75.0272868606)
42101033200	(40.04394108970, -75.0448281210)
42101033300	(40.05501492020, -75.0440556052)
42101033400	(40.05350538690, -75.0529607042)
42101033500	(40.05460143470, -75.0648677933)
42101033600	(40.06147854810, -75.0592350316)
42101033701	(40.06721067620, -75.0482983533)
42101033702	(40.07075317080, -75.0578210754)
42101033800	(40.06264810310, -75.0736438803)
42101033900	(40.06855602400, -75.0873419673)
42101034000	(40.07113227070, -75.0733725964)
42101034100	(40.07634155200, -75.0806937901)
42101034200	(40.08259466930, -75.0721585786)
42101034400	(40.09400001140, -75.0548331681)
42101034501	(40.07490924200, -75.0392088466)
42101034502	(40.08144459050, -75.0383812180)
42101034600	(40.07225396760, -75.0245953680)
42101034701	(40.06517183910, -75.0331356277)
42101034702	(40.05704292350, -75.0283286228)
42101034801	(40.05439408530, -75.0158243072)
42101034802	(40.06391259870, -75.0139352662)
42101034803	(40.06167844570, -75.0027679251)
42101034900	(40.04538481170, -75.0090763700)
42101035100	(40.04722890990, -74.9848533473)
42101035200	(40.05569956110, -74.9919448319)
42101035301	(40.06730233950, -74.9891964184)
42101035302	(40.07316744040, -74.9965075478)
42101035500	(40.09080046100, -75.0278608613)
42101035601	(40.09663974020, -75.0376717667)
42101035602	(40.10561241040, -75.0452020609)
42101035701	(40.10930777800, -75.0285072340)
42101035702	(40.11309149140, -75.0374315928)
42101035800	(40.12125527710, -75.0253871123)
42101035900	(40.11199871120, -75.0171707890)
42101036000	(40.10473902390, -75.0104538638)
42101036100	(40.09910857830, -74.9907559242)
42101036201	(40.08186196540, -74.9860230271)
42101036202	(40.08424574630, -74.9787987198)
42101036203	(40.07673776180, -74.9740779372)
42101036301	(40.08987151710, -74.9654723073)
42101036302	(40.09731539060, -74.9805152531)
42101036303	(40.10518357460, -74.9702247658)
42101036400	(40.11298991890, -74.9867619230)
42101036501	(40.12932064720, -75.0131962504)
42101036502	(40.12357054570, -74.9993519096)
42101036600	(39.94486130080, -75.1389504927)
42101036700	(39.96072487830, -75.1439885049)
42101036900	(39.94909581550, -75.1937044052)
42101037200	(39.91294851030, -75.1599380729)
42101037300	(39.90543391290, -75.1837391301)
42101037500	(39.98434936590, -75.2543798218)
42101037600	(39.95990085750, -75.1551650837)
42101037700	(39.98243813490, -75.1506932327)
42101037800	(39.97956898930, -75.0949503216)
42101037900	(39.99108998160, -75.0927153152)
42101038000	(40.00522790100, -75.0807842620)
42101038100	(40.01769739120, -75.0396349998)
42101038200	(39.99745810900, -75.0974658211)
42101038300	(40.01086314620, -75.1248985484)
42101038400	(40.07141662110, -75.2332568528)
42101038500	(40.07590534380, -75.2136899940)
42101038600	(40.05805199480, -75.2102737755)
42101038700	(40.08329712590, -75.2143439224)
42101038800	(40.05773067780, -75.1967866797)
42101038900	(40.05434313720, -75.1682763546)
42101039000	(40.03573024550, -75.0938838844)
42101980000	(39.98504729620, -75.2002069117)
42101980100	(40.04704935510, -75.2119391455)
42101980200	(40.06981173210, -75.0490217180)
42101989100	(40.03434797910, -75.0057811117)
