TractFIPS	Geolocation
42101000100	(39.95238276040, -75.1466628627)
42101000200	(39.95539990180, -75.1569774999)
42101000300	(39.95710584440, -75.1709368581)
42101000401	(39.95413660830, -75.1765601839)
42101000402	(39.95329732390, -75.1686952355)
42101000500	(39.95195339670, -75.1581776292)
42101000600	(39.94938447630, -75.1583354851)
42101000700	(39.95117366440, -75.1727351974)
42101000801	(39.95005996660, -75.1800508587)
42101000803	(39.94937478010, -75.1742488768)
42101000804	(39.94856456540, -75.1677563238)
42101000901	(39.94788664450, -75.1623004239)
42101000902	(39.94715954610, -75.1566388733)
42101001001	(39.94567226110, -75.1516019404)
42101001002	(39.94500453800, -75.1466193030)
42101001101	(39.94499176360, -75.1625240137)
42101001102	(39.94426542970, -75.1566960284)
42101001201	(39.94713672810, -75.1802279195)
42101001202	(39.94591163600, -75.1699475320)
42101001300	(39.94283179630, -75.1845558386)
42101001400	(39.94294360200, -75.1715930244)
42101001500	(39.94190368220, -75.1591158170)
42101001600	(39.94025463230, -75.1483127377)
42101001700	(39.93775926180, -75.1483114374)
42101001800	(39.93999977040, -75.1593091885)
42101001900	(39.94004536980, -75.1722270676)
42101002000	(39.93814161470, -75.1843144821)
42101002100	(39.93722140400, -75.1768955358)
42101002200	(39.93641109690, -75.1703922688)
42101002300	(39.93482168320, -75.1629799433)
42101002400	(39.93676336550, -75.1595101315)
42101002500	(39.93429595700, -75.1498023644)
42101002701	(39.92855266290, -75.1537032640)
42101002702	(39.92801141730, -75.1495606127)
42101002801	(39.92897296180, -75.1568319140)
42101002802	(39.92880010960, -75.1614072386)
42101002900	(39.93069844780, -75.1655728202)
42101003001	(39.92906403630, -75.1719912034)
42101003002	(39.93272628360, -75.1711915161)
42101003100	(39.93234284850, -75.1779571929)
42101003200	(39.93330115320, -75.1854186846)
42101003300	(39.93823564260, -75.1961070264)
42101003600	(39.92792558460, -75.1920208283)
42101003701	(39.92767281650, -75.1806654707)
42101003702	(39.92452823600, -75.1824353664)
42101003800	(39.91846584430, -75.1831322199)
42101003901	(39.92382625100, -75.1732853803)
42101003902	(39.91671785600, -75.1744118919)
42101004001	(39.92380353580, -75.1662102383)
42101004002	(39.91889433400, -75.1674160231)
42101004101	(39.92296108480, -75.1589741358)
42101004102	(39.91794252280, -75.1600628560)
42101004201	(39.92195538630, -75.1512640272)
42101004202	(39.91685699890, -75.1516284051)
42101005400	(39.88790772390, -75.2553008203)
42101005500	(39.90689706400, -75.2474966794)
42101005600	(39.89883279210, -75.2447346396)
42101006000	(39.91151970960, -75.2381570198)
42101006100	(39.91500134300, -75.2288093375)
42101006200	(39.91941341990, -75.2335256208)
42101006300	(39.92108438350, -75.2399759607)
42101006400	(39.92550132990, -75.2420824613)
42101006500	(39.93663389010, -75.2365043492)
42101006600	(39.92931554760, -75.2298423301)
42101006700	(39.92424761280, -75.2242815470)
42101006900	(39.93084196750, -75.2146589091)
42101007000	(39.93518506550, -75.2214769220)
42101007101	(39.93815797690, -75.2249982956)
42101007102	(39.94092045540, -75.2282510369)
42101007200	(39.94463697960, -75.2332168373)
42101007300	(39.94481852470, -75.2232916725)
42101007400	(39.94085749010, -75.2143066662)
42101007700	(39.94635234990, -75.2082583944)
42101007800	(39.94645801810, -75.2162636633)
42101007900	(39.95046297750, -75.2182570151)
42101008000	(39.95066135160, -75.2268423422)
42101008101	(39.94836485870, -75.2360506279)
42101008102	(39.95222164570, -75.2345583617)
42101008200	(39.94896596950, -75.2453590271)
42101008301	(39.95774592950, -75.2465795296)
42101008302	(39.95669821030, -75.2414378275)
42101008400	(39.95798994790, -75.2354680687)
42101008500	(39.95688207620, -75.2265389370)
42101008601	(39.95373406040, -75.2165930014)
42101008602	(39.95697247610, -75.2167029991)
42101008701	(39.95356574010, -75.2104987663)
42101008702	(39.95381150980, -75.2070434802)
42101008801	(39.95393196660, -75.1984476722)
42101008802	(39.95298081830, -75.2027892423)
42101009000	(39.95951167730, -75.1906245246)
42101009100	(39.95941793660, -75.1977244762)
42101009200	(39.96016079280, -75.2074722742)
