TractFIPS,Geolocation,lat,lon,walk_score,transit_score,bike_score
42101032500,"(40.02639193310, -75.0452561625)",40.02639193310, -75.0452561625,79,54,63
42101032600,"(40.03027740980, -75.0396264550)",40.03027740980, -75.0396264550,82,56,69
42101032900,"(40.03731933390, -75.0262581708)",40.03731933390, -75.0262581708,81,54,75
42101033000,"(40.03359748490, -75.0338493024)",40.03359748490, -75.0338493024,83,56,68
42101033101,"(40.04030928370, -75.0379504189)",40.04030928370, -75.0379504189,83,54,62
42101033102,"(40.04510498430, -75.0272868606)",40.04510498430, -75.0272868606,73,49,74
42101033200,"(40.04394108970, -75.0448281210)",40.04394108970, -75.0448281210,67,60,65
42101033300,"(40.05501492020, -75.0440556052)",40.05501492020, -75.0440556052,67,57,72
42101033400,"(40.05350538690, -75.0529607042)",40.05350538690, -75.0529607042,73,60,59
42101033500,"(40.05460143470, -75.0648677933)",40.05460143470, -75.0648677933,86,55,64
42101033600,"(40.06147854810, -75.0592350316)",40.06147854810, -75.0592350316,79,53,72
42101033701,"(40.06721067620, -75.0482983533)",40.06721067620, -75.0482983533,59,56,60
42101033702,"(40.07075317080, -75.0578210754)",40.07075317080, -75.0578210754,48,45,63
42101033800,"(40.06264810310, -75.0736438803)",40.06264810310, -75.0736438803,52,52,53
42101033900,"(40.06855602400, -75.0873419673)",40.06855602400, -75.0873419673,57,54,38
